Nr	Somali ord	Kilde	Wikipedia-treff	Godkjent?	Merknad
711	MAQAALO	Afsoomali	171		
712	TAA	Afsoomali	171		
713	BARAF	Afsoomali + Kaikki	170		
714	GARSOORE	Afsoomali	170		
715	GELI	Afsoomali + Kaikki	170		
716	SAL	Afsoomali	170		
717	TODDOBA	Afsoomali + Kaikki	170		
718	ABSHIR	Afsoomali	169		
719	MADOOW	Afsoomali	169		
720	SHAQAYN	Afsoomali	169		
721	DHAXAL	Afsoomali	168		
722	GUUTO	Afsoomali	167		
723	QARDHO	Afsoomali	167		
724	BADHAN	Afsoomali + Kaikki	166		
725	GEBI	Afsoomali	166		
726	CAAWIN	Afsoomali	165		
727	QABOW	Afsoomali + Kaikki	165		
728	WARIYE	Afsoomali	165		
729	XEEB	Afsoomali + Kaikki	165		
730	GAADIID	Afsoomali	164		
731	WAALID	Afsoomali	164		
732	NASIIB	Afsoomali + Kaikki	163		
733	QIIMO	Afsoomali + Kaikki	163		
734	SOCOTO	Afsoomali	163		
735	URI	Afsoomali	163		
736	BEDDELO	Afsoomali	162		
737	CAL	Afsoomali + Kaikki	161		
738	DABADEED	Afsoomali + Kaikki	161		
739	DHIB	Afsoomali + Kaikki	161		
740	GABAR	Afsoomali	161		
741	NAASLEY	Afsoomali	161		
742	SHEEGO	Afsoomali	161		
743	ATLAS	Afsoomali	160		
744	CUDUR	Afsoomali + Kaikki	160		
745	QODOBKA	Afsoomali	160		
746	SIDAAN	Afsoomali	160		
747	TUSMO	Afsoomali	160		
748	ADEER	Afsoomali + Kaikki	159		
749	BARWAAQO	Afsoomali + Kaikki	159		
750	DHAAWAC	Afsoomali	159		
751	BAAY	Afsoomali	158		
752	MILE	Afsoomali	158		
753	DHICIN	Afsoomali	157		
754	KHILAAF	Afsoomali	157		
755	MASUUL	Afsoomali	157		
756	ODAY	Afsoomali + Kaikki	156		
757	CADAADIS	Afsoomali	155		
758	DOOD	Afsoomali + Kaikki	155		
759	TILMAAME	Afsoomali	155		
760	CIR	Afsoomali + Kaikki	154		
761	DHACAAN	Afsoomali	154		
762	JIDH	Kaikki	153		
763	WARQAD	Afsoomali + Kaikki	153		
764	XATAA	Afsoomali	153		
765	BAAN	Afsoomali	152		
766	FAN	Afsoomali	152		
767	JILAY	Afsoomali	152		
768	LIBAAX	Afsoomali + Kaikki	152		
769	XADDIDAN	Afsoomali	152		
770	SAY	Afsoomali	151		
771	WAABERI	Afsoomali	151		
772	FAADUMO	Afsoomali	150		
773	OLOLE	Afsoomali	150		
774	TOO	Afsoomali	150		
775	OGSAJIIN	Afsoomali	149		
776	SHIMBIR	Afsoomali + Kaikki	149		
777	SIN	Afsoomali	149		
778	FEDERAAL	Afsoomali	148		
779	FURSAD	Afsoomali	148		
780	GADAAL	Afsoomali + Kaikki	148		
781	KADDIB	Afsoomali + Kaikki	148		
782	OON	Afsoomali	148		
783	TALIN	Afsoomali + Kaikki	148		
784	TARTAN	Afsoomali	148		
785	WARSHAD	Afsoomali	148		
786	NAXARIIS	Afsoomali	147		
787	NUR	Afsoomali	147		
788	RIWAAYAD	Afsoomali	147		
789	CADDAYN	Afsoomali	146		
790	ISBEDDEL	Afsoomali	145		
791	ABID	Afsoomali	144		
792	DEEQ	Afsoomali	144		
793	JAAD	Afsoomali	143		
794	MUG	Afsoomali + Kaikki	143		
795	MUUMIN	Afsoomali	143		
796	RAKAAB	Afsoomali	143		
797	SUR	Afsoomali	143		
798	TAMAR	Afsoomali	143		
799	JAAMACAD	Afsoomali	142		
800	KHAAS	Afsoomali	142		
801	AAYAD	Afsoomali	141		
802	DAAH	Afsoomali	141		
803	KHUDAAR	Afsoomali	141		
804	AAL	Afsoomali	140		
805	HAYAAN	Afsoomali	140		
806	JAB	Afsoomali + Kaikki	140		
807	SUURAD	Afsoomali	140		
808	BARO	Afsoomali + Kaikki	139		
809	JEEX	Afsoomali + Kaikki	139		
810	SAAXIL	Afsoomali	139		
811	WANAAG	Afsoomali + Kaikki	139		
812	YARE	Afsoomali	139		
813	AFARTAN	Afsoomali + Kaikki	138		
814	BED	Afsoomali	138		
815	CINWAAN	Afsoomali	138		
816	MALAY	Kaikki	138		
817	MASJID	Afsoomali	138		
818	BERBER	Afsoomali	137		
819	ILAALIN	Afsoomali	137		
820	KALLUUN	Afsoomali + Kaikki	137		
821	MASAAFO	Afsoomali	137		
822	TEEDSAN	Afsoomali	137		
823	WADAAD	Afsoomali	137		
824	CODSI	Afsoomali	136		
825	CUF	Afsoomali	136		
826	MURAAD	Afsoomali	136		
827	NOFEMBAR	Afsoomali	136		
828	RAMADAAN	Afsoomali	136		
829	SOON	Afsoomali	136		
830	BUURO	Afsoomali	135		
831	DHIG	Afsoomali	135		
832	GAR	Afsoomali	135		
833	GEEDO	Afsoomali	135		
834	MAAMULO	Afsoomali	135		
835	XABSI	Afsoomali	135		
836	CARO	Afsoomali + Kaikki	134		
837	DABAYL	Afsoomali + Kaikki	134		
838	DARAJO	Afsoomali	134		
839	KOOB	Afsoomali + Kaikki	134		
840	BAN	Afsoomali	133		
841	GOOR	Afsoomali	133		
842	INDHO	Kaikki	133		
843	LUUQ	Afsoomali	133		
844	MARI	Afsoomali + Kaikki	133		
845	QARSOODI	Afsoomali	133		
846	QOLOF	Afsoomali	133		
847	WAAJIB	Afsoomali	133		
848	BEDDEL	Afsoomali + Kaikki	132		
849	BILAASH	Afsoomali	132		
850	DHOWAAD	Afsoomali	132		
851	KOON	Afsoomali	132		
852	ARRIN	Afsoomali	131		
853	HUBAYSAN	Afsoomali	131		
854	QALLALAN	Afsoomali	131		
855	DHEERI	Afsoomali	130		
856	KAC	Afsoomali + Kaikki	130		
857	MACQUUL	Afsoomali	130		
858	MAQAL	Afsoomali + Kaikki	130		
859	XAAFAD	Afsoomali + Kaikki	130		
860	DARAASAD	Afsoomali	129		
861	JILIB	Afsoomali + Kaikki	129		
862	KHAATUMO	Afsoomali	129		
863	KUL	Afsoomali	129		
864	LAHAN	Afsoomali	129		
865	WEYNE	Afsoomali	129		
866	AQAL	Afsoomali + Kaikki	128		
867	AYAGA	Kaikki	128		
868	CASAAN	Afsoomali + Kaikki	128		
869	LIIBAAN	Afsoomali	128		
870	QABAY	Afsoomali	128		
871	QALALAN	Kaikki	128		
872	SUXUFI	Afsoomali	128		
873	BAX	Afsoomali + Kaikki	127		
874	BULUUG	Afsoomali + Kaikki	127		
875	FIRE	Afsoomali	127		
876	GOLE	Afsoomali	127		
877	GUN	Afsoomali	127		
878	KHAD	Afsoomali	127		
879	WACAYS	Afsoomali	127		
880	BOGGAN	Afsoomali	126		
881	DHISMO	Afsoomali	126		
882	LAAS	Afsoomali	126		
883	QOR	Afsoomali + Kaikki	126		
884	IMAAN	Afsoomali + Kaikki	125		
885	JOOJIN	Afsoomali	125		
886	NUQUL	Afsoomali	125		
887	ANA	Afsoomali	124		
888	ARKAAN	Afsoomali	124		
889	GUMEYSI	Afsoomali	124		
890	IDIN	Afsoomali	124		
891	ISLAAMI	Afsoomali	124		
892	KURSI	Afsoomali + Kaikki	124		
893	SAMEE	Afsoomali + Kaikki	124		
894	UNUG	Afsoomali	124		
895	WAXBARID	Afsoomali	124		
896	XUSID	Afsoomali	124		
897	BUR	Afsoomali	123		
898	CAQLI	Afsoomali	123		
899	MARAA	Afsoomali	123		
900	AADDAN	Afsoomali	122		
901	FEER	Afsoomali	122		
902	TIMO	Afsoomali + Kaikki	122		
903	DHANAAN	Afsoomali	121		
904	FAALLO	Afsoomali	121		
905	GABYAA	Afsoomali	121		
906	KACDOON	Afsoomali	121		
907	DUURJOOG	Afsoomali	120		
908	GUREY	Afsoomali	120		
909	QASAB	Afsoomali	120		
910	RAACO	Afsoomali	120		
911	CELI	Afsoomali + Kaikki	119		
912	DACWAD	Afsoomali	119		
913	DHAKHSO	Afsoomali	119		
914	DHOWAAN	Afsoomali	119		
915	GUDDI	Afsoomali	119		
916	NATIIJO	Afsoomali	119		
917	TIJAABO	Afsoomali	119		
918	UBAX	Afsoomali + Kaikki	119		
919	XAFLAD	Afsoomali	119		
920	XERO	Afsoomali	119		
921	BALLAN	Afsoomali	118		
922	IFTIIN	Afsoomali + Kaikki	118		
923	JAWAAB	Afsoomali + Kaikki	118		
924	KOOBI	Afsoomali	118		
925	OOL	Afsoomali	118		
926	RUUX	Afsoomali	118		
927	TIIR	Afsoomali	118		
928	WAJIGA	Kaikki	118		
929	XAGAL	Afsoomali	118		
930	YAHAN	Afsoomali	118		
931	FOOL	Afsoomali	117		
932	IDIL	Afsoomali	117		
933	QARSOON	Afsoomali	117		
934	FARAS	Afsoomali + Kaikki	116		
935	HAWEENEY	Afsoomali	116		
936	MALAHA	Afsoomali	116		
937	QANI	Afsoomali	116		
938	TAREEN	Afsoomali	116		
939	XUKUN	Afsoomali + Kaikki	116		
940	SAAXIIB	Afsoomali + Kaikki	115		
941	DUSAA	Afsoomali	114		
942	GARAN	Afsoomali	114		
943	HIRAAB	Afsoomali	114		
944	XIISO	Afsoomali	114		
945	DADAAL	Afsoomali + Kaikki	113		
946	DHIMAN	Afsoomali	113		
947	HAN	Afsoomali	113		
948	INJIIL	Afsoomali	113		
949	JIN	Afsoomali	113		
950	KELI	Afsoomali	113		
951	NAFAQO	Afsoomali	113		
952	QAALI	Afsoomali + Kaikki	113		
953	QOL	Afsoomali	113		
954	BIIRO	Afsoomali	112		
955	CABO	Afsoomali	112		
956	CAJIIB	Afsoomali	112		
957	DHALIN	Afsoomali	112		
958	EED	Afsoomali	112		
959	JIIDASHO	Afsoomali	112		
960	KAALIN	Afsoomali	112		
961	KANAAL	Afsoomali	112		
962	KHABIIR	Afsoomali	112		
963	MAXKAMAD	Afsoomali	112		
964	NUS	Afsoomali	112		
965	QORSHE	Afsoomali	112		
966	SOLO	Afsoomali	112		
967	BURBUR	Afsoomali + Kaikki	111		
968	MATAAN	Afsoomali	111		
969	QARAABO	Afsoomali	111		
970	RAAD	Afsoomali + Kaikki	111		
971	SAXAN	Afsoomali	111		
972	SUMCAD	Afsoomali	111		
973	BILAA	Kaikki	110		
974	BUUNDO	Afsoomali	110		
975	CAYR	Afsoomali	110		
976	DULMAR	Afsoomali	110		
977	FIIRO	Afsoomali	110		
978	IGBO	Afsoomali	110		
979	KOOW	Afsoomali	110		
980	QABYO	Afsoomali	110		
981	RAYID	Afsoomali	110		
982	WALAX	Afsoomali	110		
983	DAADAD	Afsoomali	109		
984	GABAYAA	Afsoomali	109		
985	HUBI	Afsoomali	109		
986	ISBITAAL	Afsoomali	109		
987	LAATIIN	Afsoomali	109		
988	XIDDIG	Afsoomali + Kaikki	109		
989	AFTI	Afsoomali	108		
990	CAYN	Afsoomali + Kaikki	108		
991	DIRO	Afsoomali	108		
992	FARAC	Afsoomali	108		
993	FURO	Afsoomali	108		
994	GAROON	Afsoomali	108		
995	GASHO	Afsoomali	108		
996	KANSARKA	Afsoomali	108		
997	MASAAJID	Afsoomali	108		
998	QAARAD	Afsoomali	108		
999	SHACAB	Afsoomali	108		
1000	SOCOD	Afsoomali + Kaikki	108		
1001	XIDIG	Afsoomali	108		
1002	XIRFADLE	Afsoomali	108		
1003	ALWAAX	Afsoomali	107		
1004	CIYAARI	Afsoomali	107		
1005	CUSBO	Afsoomali + Kaikki	107		
1006	HORSEED	Afsoomali	107		
1007	MIRO	Afsoomali + Kaikki	107		
1008	XUMO	Afsoomali	107		
1009	DHAX	Afsoomali	106		
1010	KABAN	Afsoomali	106		
1011	KHAFIIF	Afsoomali	106		
1012	MAC	Afsoomali + Kaikki	106		
1013	MED	Afsoomali	106		
1014	TALLAABO	Afsoomali	106		
1015	UDUB	Afsoomali	106		
1016	UUMI	Afsoomali + Kaikki	106		
1017	WADAAN	Afsoomali	106		
1018	AAKHIRO	Afsoomali	105		
1019	CADDAAN	Afsoomali + Kaikki	105		
1020	DHAAF	Afsoomali + Kaikki	105		
1021	GUDBIN	Afsoomali	105		
1022	SAAC	Afsoomali	105		
1023	SHIL	Afsoomali	105		
1024	URURIN	Afsoomali	105		
1025	BOOS	Afsoomali	104		
1026	GEES	Afsoomali + Kaikki	104		
1027	SAAFI	Afsoomali	104		
1028	SAHAL	Afsoomali	104		
1029	ASKAR	Afsoomali + Kaikki	103		
1030	BAAD	Afsoomali	103		
1031	JEEDIN	Afsoomali	103		
1032	SAACAD	Afsoomali	103		
1033	BUG	Afsoomali	102		
1034	GARGAAR	Afsoomali	102		
1035	XUSUUS	Afsoomali	102		
1036	BIIXI	Afsoomali	101		
1037	BOOQASHO	Afsoomali	101		
1038	CAAQIL	Afsoomali	101		
1039	DASTUUR	Afsoomali	101		
1040	NOOLAAN	Afsoomali + Kaikki	101		
1041	RAJO	Afsoomali	101		
1042	SALAAN	Afsoomali	101		
1043	SAMI	Afsoomali	101		
1044	AAR	Afsoomali + Kaikki	100		
1045	BEY	Afsoomali	100		
1046	FARO	Afsoomali	100		
1047	GARAD	Afsoomali	100		
1048	MISE	Afsoomali	100		
1049	SARAAR	Afsoomali	100		
1050	WADAAG	Afsoomali + Kaikki	100		
1051	YEERI	Afsoomali	100		
1052	BADWEYN	Afsoomali	99		
1053	BILOW	Afsoomali + Kaikki	99		
1054	BOY	Afsoomali	99		
1055	HURUUD	Afsoomali	99		
1056	ISA	Afsoomali	99		
1057	KAAGA	Afsoomali	99		
1058	TIMAHA	Kaikki	99		
1059	QARAX	Afsoomali	98		
1060	QAREEN	Afsoomali	98		
1061	TODDOBO	Afsoomali	98		
1062	BAALCAD	Afsoomali	97		
1063	BEDER	Afsoomali	97		
1064	MOOYEE	Afsoomali	97		
1065	QALAD	Afsoomali	97		
1066	QODOB	Afsoomali	97		
1067	BALLAC	Afsoomali	96		
1068	BARAN	Afsoomali	96		
1069	CALAN	Afsoomali + Kaikki	96		
1070	DAACAD	Afsoomali + Kaikki	96		
1071	FIRCOON	Afsoomali	96		
1072	GERI	Afsoomali + Kaikki	96		
1073	HAGAR	Afsoomali	96		
1074	HALGAN	Afsoomali	96		
1075	KARTI	Afsoomali	96		
1076	KONTON	Afsoomali + Kaikki	96		
1077	MIISAAN	Afsoomali	96		
1078	QAAMUUS	Afsoomali + Kaikki	96		
1079	FIISIKIS	Afsoomali	95		
1080	FIKRAD	Afsoomali	95		
1081	GACAL	Afsoomali	95		
1082	HADLI	Afsoomali	95		
1083	QAYBSAN	Afsoomali	95		
1084	SABUUR	Afsoomali	95		
1085	SEED	Afsoomali	95		
1086	XIRO	Afsoomali	95		
1087	ADKE	Afsoomali	94		
1088	FARIIN	Afsoomali	94		
1089	JAWI	Afsoomali	94		
1090	JID	Afsoomali + Kaikki	94		
1091	SONKOR	Afsoomali + Kaikki	94		
1092	AWAY	Afsoomali	93		
1093	AYEEY	Kaikki	93		
1094	BARIIS	Afsoomali + Kaikki	93		
1095	DABEECAD	Afsoomali	93		
1096	DHEXAAD	Afsoomali	93		
1097	GARRE	Afsoomali	93		
1098	HAYSO	Afsoomali	93		
1099	IIMAAN	Afsoomali	93		
1100	KARI	Afsoomali	93		
1101	KHIBRAD	Afsoomali	93		
1102	NADIIF	Afsoomali + Kaikki	93		
1103	NAXAAS	Afsoomali	93		
1104	RAALI	Kaikki	93		
1105	SOL	Afsoomali	93		
1106	CAADO	Afsoomali	92		
1107	CAR	Afsoomali	92		
1108	DHUXUL	Afsoomali	92		
1109	HUN	Afsoomali	92		
1110	QAXOOTI	Afsoomali	92		
1111	SAF	Afsoomali	92		
1112	SANI	Afsoomali	92		
1113	TABAN	Afsoomali	92		
1114	AKHRIS	Afsoomali	91		
1115	DAMBI	Afsoomali	91		
1116	DUN	Afsoomali	91		
1117	FARAX	Afsoomali	91		
1118	HASAN	Afsoomali	91		
1119	LID	Afsoomali	91		
1120	SEEN	Afsoomali	91		
1121	XAWAARE	Afsoomali	91		
1122	AALO	Afsoomali	90		
1123	ISKAGA	Afsoomali	90		
1124	KIIS	Afsoomali + Kaikki	90		
1125	CAYAAR	Afsoomali + Kaikki	89		
1126	QAAD	Afsoomali + Kaikki	89		
1127	SAMAFAL	Afsoomali	89		
1128	SHAKI	Afsoomali	89		
1129	SHILIN	Afsoomali	89		
1130	SUUFI	Afsoomali	89		
1131	XAFIIS	Afsoomali	89		
1132	ARI	Afsoomali	88		
1133	DAHIR	Kaikki	88		
1134	DEYN	Afsoomali	88		
1135	FICIL	Afsoomali	88		
1136	GEEDDI	Afsoomali	88		
1137	HAYN	Afsoomali	88		
1138	HIDDO	Afsoomali	88		
1139	HORRAYN	Afsoomali	88		
1140	JIIR	Afsoomali	88		
1141	SUBAX	Afsoomali	88		
1142	WALAAC	Afsoomali	88		
1143	CIRRO	Afsoomali	87		
1144	FIN	Afsoomali	87		
1145	GABDHO	Kaikki	87		
1146	GEGO	Afsoomali	87		
1147	KABTAN	Afsoomali	87		
1148	LIIS	Afsoomali	87		
1149	MURANSAN	Afsoomali	87		
1150	RAALLI	Afsoomali	87		
1151	RAY	Afsoomali	87		
1152	SIISO	Afsoomali	87		
1153	XAL	Afsoomali	87		
1154	BADI	Afsoomali	86		
1155	HORYAAL	Afsoomali	86		
1156	IDINKA	Afsoomali + Kaikki	86		
1157	ISKUUL	Afsoomali	86		
1158	KAYN	Afsoomali	86		
1159	MAGOOL	Afsoomali	86		
1160	SHAX	Afsoomali	86		
1161	WAXTAR	Afsoomali + Kaikki	86		
1162	BANGI	Afsoomali	85		
1163	DAAD	Afsoomali	85		
1164	DIFAAC	Afsoomali	85		
1165	FAC	Afsoomali	85		
1166	LAXAAD	Afsoomali	85		
1167	QAACI	Afsoomali	85		
1168	RAAXO	Afsoomali + Kaikki	85		
1169	RAJAB	Afsoomali	85		
1170	SAMAYSO	Afsoomali	85		
1171	UUR	Afsoomali	85		
1172	BADNAAN	Afsoomali	84		
1173	GURMAD	Afsoomali	84		
1174	JAMAAL	Afsoomali	84		
1175	KIISA	Afsoomali	84		
1176	LAAHI	Afsoomali	84		
1177	MADAR	Afsoomali	84		
1178	RAAS	Afsoomali	84		
1179	SOKOW	Afsoomali	84		
1180	AAMIN	Kaikki	83		
1181	JIILAAL	Afsoomali	83		
1182	KABAHA	Afsoomali	83		
1183	MARXUUM	Afsoomali	83		
1184	QAADIS	Afsoomali	83		
1185	QAAWAN	Afsoomali + Kaikki	83		
1186	SHEY	Afsoomali	83		
1187	TEL	Afsoomali	83		
1188	TUUR	Afsoomali	83		
1189	ASH	Afsoomali	82		
1190	KALSOONI	Afsoomali	82		
1191	KAY	Afsoomali	82		
1192	SAA	Afsoomali	82		
1193	SINNAAN	Afsoomali	82		
1194	TIN	Afsoomali	82		
1195	WEEYE	Afsoomali	82		
1196	BIYAANO	Afsoomali	81		
1197	CAALIM	Afsoomali	81		
1198	DAKAR	Afsoomali	81		
1199	DHIF	Afsoomali	81		
1200	EBER	Afsoomali + Kaikki	81		
1201	FASAX	Afsoomali	81		
1202	IDO	Afsoomali	81		
1203	JAALE	Kaikki	81		
1204	MASIIXI	Afsoomali	81		
1205	MAXAAD	Afsoomali	81		
1206	MOODO	Afsoomali	81		
1207	XAGAA	Afsoomali + Kaikki	81		
1208	XILDIID	Afsoomali	81		
1209	GAAL	Afsoomali + Kaikki	80		
1210	GOO	Afsoomali	80		
1211	KABO	Afsoomali	80		
1212	LAAB	Afsoomali + Kaikki	80		
1213	MIDNIMO	Afsoomali	80		
1214	QABIILO	Afsoomali	80		
1215	QOORTA	Kaikki	80		
1216	TAAGEERE	Afsoomali	80		
1217	TAALLO	Afsoomali	80		
1218	XUQUUQ	Afsoomali	80		
1219	CANSHUUR	Afsoomali	79		
1220	KAL	Afsoomali	79		
1221	KOOFUR	Afsoomali	79		
1222	LAABAN	Afsoomali	79		
1223	NUGUL	Afsoomali	79		
1224	SAHRA	Afsoomali	79		
1225	SAR	Afsoomali	79		
1226	SURWAAL	Afsoomali	79		
1227	TOBANAAD	Afsoomali	79		
1228	DARYEEL	Afsoomali	78		
1229	DEJIN	Afsoomali	78		
1230	HAATAN	Afsoomali	78		
1231	MAWDUUC	Afsoomali	78		
1232	MIYI	Afsoomali + Kaikki	78		
1233	OGGOL	Afsoomali	78		
1234	QAANSO	Afsoomali + Kaikki	78		
1235	RASAAS	Afsoomali	78		
1236	ALAAB	Afsoomali	77		
1237	BACAAD	Afsoomali	77		
1238	DHADHAN	Afsoomali	77		
1239	FARMAAJO	Afsoomali + Kaikki	77		
1240	FURQAAN	Afsoomali	77		
1241	HUBIN	Afsoomali	77		
1242	KAAN	Afsoomali	77		
1243	LIB	Afsoomali	77		
1244	NAF	Afsoomali	77		
1245	SHAAFICI	Afsoomali	77		
1246	SIYAABO	Afsoomali	77		
1247	XIGTO	Afsoomali	77		
1248	AKHRI	Afsoomali + Kaikki	76		
1249	AYAANLE	Afsoomali	76		
1250	BENGALI	Afsoomali	76		
1251	DABACSAN	Afsoomali	76		
1252	DEGO	Afsoomali	76		
1253	DHIBCO	Afsoomali	76		
1254	DURBAAN	Afsoomali	76		
1255	JINSI	Afsoomali	76		
1256	RIKOOR	Afsoomali	76		
1257	SAAS	Afsoomali + Kaikki	76		
1258	AGAB	Afsoomali	75		
1259	BURCAD	Afsoomali	75		
1260	DEMBI	Afsoomali	75		
1261	GURAY	Kaikki	75		
1262	IYANA	Afsoomali	75		
1263	JIHO	Afsoomali	75		
1264	LAXAN	Afsoomali	75		
1265	MADAL	Afsoomali	75		
1266	OOD	Afsoomali + Kaikki	75		
1267	QALAAD	Afsoomali	75		
1268	QARAAMI	Afsoomali	75		
1269	RABBI	Afsoomali	75		
1270	SILSILAD	Afsoomali	75		
1271	TAXA	Afsoomali	75		
1272	TOOBIN	Afsoomali	75		
1273	XAQIIJIN	Afsoomali	75		
1274	ABAAR	Afsoomali	74		
1275	DAKHLI	Afsoomali	74		
1276	DHALAN	Afsoomali	74		
1277	GAN	Afsoomali	74		
1278	KHARASH	Afsoomali	74		
1279	MAAMUUS	Afsoomali	74		
1280	QABATO	Afsoomali	74		
1281	SAAMI	Afsoomali	74		
1282	WAREEJIN	Afsoomali	74		
1283	XARIG	Afsoomali + Kaikki	74		
1284	XIDDIGIS	Afsoomali	74		
1285	AMAAH	Afsoomali	73		
1286	CAWL	Afsoomali + Kaikki	73		
1287	COLAAD	Afsoomali	73		
1288	JABAN	Afsoomali + Kaikki	73		
1289	QAAN	Afsoomali	73		
1290	SABTI	Afsoomali + Kaikki	73		
1291	SAHLAN	Afsoomali	73		
1292	SODDON	Afsoomali + Kaikki	73		
1293	WAREEGO	Afsoomali	73		
1294	XEEL	Afsoomali	73		
1295	AABBE	Afsoomali + Kaikki	72		
1296	DHAQMO	Afsoomali	72		
1297	DUULIYE	Afsoomali	72		
1298	HUFAN	Afsoomali	72		
1299	KANIISAD	Afsoomali + Kaikki	72		
1300	KORDHIN	Afsoomali	72		
1301	MASKAX	Afsoomali	72		
1302	QABSAN	Afsoomali	72		
1303	RAADIN	Afsoomali	72		
1304	SICIR	Afsoomali	72		
1305	TEEN	Afsoomali	72		
1306	AASAASI	Afsoomali	71		
1307	BILAD	Afsoomali	71		
1308	CEEB	Afsoomali	71		
1309	DABAAL	Afsoomali + Kaikki	71		
1310	IDIIN	Afsoomali	71		
1311	KORE	Afsoomali	71		
1312	QORRAX	Afsoomali	71		
1313	SAXAFI	Afsoomali	71		
1314	TOGAN	Afsoomali	71		
1315	WARAABE	Afsoomali + Kaikki	71		
1316	WARAN	Afsoomali + Kaikki	71		
1317	AALE	Afsoomali	70		
1318	AASAAS	Afsoomali	70		
1319	CUDBI	Afsoomali	70		
1320	DAYACTIR	Afsoomali	70		
1321	FALKAAB	Afsoomali	70		
1322	GAAJO	Afsoomali + Kaikki	70		
1323	ISBOORTI	Afsoomali	70		
1324	NIMCO	Afsoomali	70		
1325	RAACI	Afsoomali	70		
1326	CALEEN	Afsoomali + Kaikki	69		
1327	DIGNIIN	Afsoomali	69		
1328	HARAG	Afsoomali	69		
1329	HEE	Afsoomali	69		
1330	ILIG	Afsoomali + Kaikki	69		
1331	SHABEEL	Afsoomali + Kaikki	69		
1332	SOOYAAL	Afsoomali	69		
1333	WAREEGTO	Afsoomali	69		
1334	ABTI	Afsoomali + Kaikki	68		
1335	ANSAAR	Afsoomali	68		
1336	AWOOWE	Afsoomali	68		
1337	AYO	Afsoomali	68		
1338	DABAQ	Afsoomali	68		
1339	MAREEG	Afsoomali	68		
1340	NNKH	Kaikki	68		
1341	NOQO	Afsoomali + Kaikki	68		
1342	RAAC	Afsoomali + Kaikki	68		
1343	SOCDAAL	Afsoomali	68		
1344	TUR	Afsoomali	68		
1345	WAL	Afsoomali	68		
1346	XAMUUL	Afsoomali	68		
1347	XARFO	Afsoomali	68		
1348	BISAD	Afsoomali + Kaikki	67		
1349	CAWS	Afsoomali + Kaikki	67		
1350	FALAG	Afsoomali	67		
1351	GUDUUD	Afsoomali + Kaikki	67		
1352	LATALIYE	Afsoomali	67		
1353	LED	Afsoomali	67		
1354	QAYBIN	Afsoomali + Kaikki	67		
1355	ABYOONE	Afsoomali	66		
1356	GIDIR	Afsoomali	66		
1357	HAR	Afsoomali	66		
1358	HAWD	Afsoomali	66		
1359	IID	Afsoomali	66		
1360	JACEYL	Kaikki	66		
1361	JAMAC	Afsoomali	66		
1362	KORODHKA	Afsoomali	66		
1363	LAHAAN	Afsoomali	66		
1364	MACHAD	Afsoomali	66		
1365	MAL	Afsoomali	66		
1366	NAXWE	Afsoomali	66		
1367	OOGO	Afsoomali	66		
1368	QOLO	Afsoomali	66		
1369	SADAR	Afsoomali	66		
1370	SHEEG	Afsoomali + Kaikki	66		
1371	AALAD	Afsoomali	65		
1372	CASHO	Afsoomali	65		
1373	FAQ	Afsoomali	65		
1374	HUBAAL	Afsoomali	65		
1375	LUUL	Afsoomali	65		
1376	MUUJIN	Afsoomali	65		
1377	CABITAAN	Kaikki	64		
1378	CARRO	Afsoomali	64		
1379	CIDHIF	Afsoomali	64		
1380	DIIRAN	Afsoomali	64		
1381	DUUR	Afsoomali + Kaikki	64		
1382	JABIN	Afsoomali	64		
1383	KAAHIN	Afsoomali	64		
1384	MICNO	Afsoomali	64		
1385	MIILAADI	Afsoomali	64		
1386	MILIX	Afsoomali	64		
1387	MUGDI	Afsoomali + Kaikki	64		
1388	OGAAN	Afsoomali + Kaikki	64		
1389	OORI	Afsoomali	64		
1390	WOOD	Afsoomali	64		
1391	XUDDUN	Afsoomali	64		
1392	XULASHO	Afsoomali	64		
1393	BEERALEY	Afsoomali	63		
1394	FIRILEY	Afsoomali	63		
1395	FUR	Afsoomali + Kaikki	63		
1396	GEESI	Afsoomali + Kaikki	63		
1397	GORGOR	Afsoomali	63		
1398	HEERSARE	Kaikki	63		
1399	JAAN	Afsoomali	63		
1400	MUJAAHID	Afsoomali	63		
1401	SHIICA	Afsoomali	63		
1402	SUUL	Afsoomali + Kaikki	63		
1403	WEJI	Afsoomali	63		
1404	XASUUQ	Afsoomali	63		
1405	XIDID	Afsoomali	63		
1406	ALIF	Afsoomali	62		
1407	BALLI	Afsoomali	62		
1408	DHEDDIG	Afsoomali	62		
1409	KOODH	Afsoomali	62		
1410	LIXDAN	Afsoomali + Kaikki	62		
1411	MUCAARAD	Afsoomali	62		
1412	QABSO	Afsoomali	62		
1413	TIMIR	Afsoomali	62		
1414	WACYI	Afsoomali	62		
1415	ADDUUN	Afsoomali	61		
1416	ANSHAX	Afsoomali	61		
1417	DANAB	Afsoomali	61		
1418	FAAH	Afsoomali	61		
1419	FADAL	Afsoomali	61		
1420	KEEDA	Afsoomali	61		
1421	KHADAR	Afsoomali	61		
1422	KOOBAAD	Afsoomali	61		
1423	KUTUB	Afsoomali	61		
1424	LAAMI	Afsoomali	61		
1425	LAHJAD	Afsoomali	61		
1426	MAG	Afsoomali + Kaikki	61		
